,Serial_Number,AGE,GENDER,MARITAL_STATUS,NATIONALITY,LINE_TENURE,CUSTOMER_CLASS,SUBPLAN,CONTRACT_FLAG,PAY_METD,HS_AGE,TOP1_INT_CD,TOP2_INT_CD,TOP3_INT_CD,CUSTOMER_TYPE,ID_CHANGE_FLAG
1406,14523,36.0,F,S,702.0,226,3,2242,1.0,cs,7,NONE,NONE,NONE,3G,0
1407,1453,36.30354683195592,M,S,702.0,2846,3,2101,1.0,cs,22,NONE,NONE,NONE,4G,0
1408,14537,40.0,F,S,702.0,1627,3,2206,1.0,cs,10,NONE,NONE,NONE,3G,0
1409,1454,23.0,M,S,702.0,199,3,2242,1.0,cs,6,105,71,260,4G,0
1410,14545,44.0,F,M,702.0,1088,3,2241,0.0,cs,35,NONE,NONE,NONE,3G,0
1411,1455,47.0,M,S,702.0,2917,3,2242,1.0,cs,0,NONE,NONE,NONE,4G,0
1412,14556,49.0,F,M,702.0,743,3,2135,0.0,cs,24,NONE,NONE,NONE,3G,0
1413,14559,30.0,M,S,702.0,408,3,2241,1.0,cs,5,NONE,NONE,NONE,3G,0
1414,1456,31.0,F,S,702.0,1949,7,2160,1.0,co,3,101,103,NONE,4G,0
1415,14561,29.0,M,S,702.0,2527,3,2107,0.0,cs,0,NONE,NONE,NONE,3G,0
1416,1457,34.0,M,S,702.0,2916,3,2101,0.0,cs,0,NONE,NONE,NONE,4G,0
1417,14579,34.0,M,S,702.0,2524,3,2101,1.0,dd,6,NONE,NONE,NONE,3G,0
1418,1458,34.0,M,M,702.0,574,3,2102,1.0,cs,0,105,65,258,4G,0
1419,14585,43.0,F,M,702.0,1863,3,2101,1.0,cs,7,NONE,NONE,NONE,3G,0
1420,14586,29.0,M,S,702.0,1409,3,2137,1.0,cs,3,242,105,239,3G,0
1421,14588,53.0,F,M,702.0,506,3,2135,1.0,cs,16,NONE,NONE,NONE,3G,0
1422,1459,35.0,M,M,702.0,2648,7,2183,1.0,cx,15,67,NONE,NONE,4G,0
1423,14594,54.0,M,M,702.0,320,3,2241,1.0,cs,10,NONE,NONE,NONE,3G,0
1424,14597,42.0,M,M,156.0,812,7,2156,1.0,cs,2,NONE,NONE,NONE,3G,0
1425,146,39.0,M,M,702.0,988,3,2243,1.0,cs,6,103,236,105,4G,0
1426,1460,30.0,M,S,702.0,212,3,2242,1.0,cs,6,101,105,102,4G,0
1427,14607,26.0,F,S,702.0,1512,3,2242,1.0,cs,12,103,105,NONE,3G,0
1428,1461,27.0,F,S,702.0,2230,7,2166,0.0,cs,33,NONE,NONE,NONE,4G,0
1429,14615,22.0,M,S,156.0,996,6,2103,1.0,cs,7,NONE,NONE,NONE,3G,0
1430,1462,33.0,M,S,702.0,1425,7,2160,1.0,cs,0,70,NONE,NONE,4G,0
1431,14628,35.0,F,M,702.0,2009,3,2243,1.0,cs,13,NONE,NONE,NONE,3G,0
1432,1463,45.0,F,S,702.0,1286,3,2242,1.0,cs,7,NONE,NONE,NONE,4G,0
1433,1464,36.0,M,S,702.0,416,3,2137,1.0,cs,1,45,105,239,4G,0
1434,14644,34.0,M,S,702.0,2039,5,2101,1.0,cs,5,70,243,69,3G,0
1435,14647,34.0,F,S,702.0,2523,3,2101,1.0,cg,3,NONE,NONE,NONE,3G,0
1436,1465,23.0,M,S,702.0,981,3,2135,0.0,cs,32,105,260,NONE,4G,0
1437,14652,30.0,F,S,702.0,2001,3,2242,1.0,cs,14,29,242,NONE,3G,0
1438,1466,26.0,M,S,702.0,1297,3,2120,0.0,cs,5,105,NONE,NONE,4G,0
1439,14661,31.0,M,S,702.0,1703,3,2101,0.0,cs,55,NONE,NONE,NONE,3G,0
1440,14665,33.0,F,M,702.0,215,3,2206,1.0,cs,6,NONE,NONE,NONE,3G,0
1441,14667,47.0,M,S,702.0,2475,3,2102,1.0,co,14,248,50,258,3G,0
1442,1467,33.0,M,S,702.0,670,3,2136,1.0,cs,0,35,NONE,NONE,4G,0
1443,14671,27.0,F,S,702.0,1134,3,2119,1.0,cs,37,105,103,NONE,3G,0
1444,14672,39.0,F,M,702.0,1097,3,2101,1.0,cs,0,105,NONE,NONE,3G,0
1445,14677,41.0,M,M,458.0,2476,3,2101,0.0,cg,24,103,NONE,NONE,3G,0
1446,1468,36.0,M,M,702.0,1273,3,2102,1.0,cs,0,105,57,NONE,4G,0
1447,14689,38.0,M,S,702.0,847,7,2156,1.0,dd,1,NONE,NONE,NONE,3G,0
1448,1469,24.0,M,S,702.0,1088,3,2242,1.0,dd,0,NONE,NONE,NONE,4G,0
1449,14696,35.0,F,S,702.0,1709,3,2101,1.0,cg,12,NONE,NONE,NONE,3G,0
1450,147,25.0,F,S,702.0,447,3,2102,1.0,cs,9,NONE,NONE,NONE,4G,0
1451,1470,48.0,M,M,702.0,1247,3,2107,1.0,dd,20,236,35,NONE,4G,0
1452,14702,48.0,F,S,702.0,2153,3,2102,1.0,cs,3,NONE,NONE,NONE,3G,0
1453,14707,37.0,F,S,156.0,1390,3,2101,1.0,dd,3,35,51,237,3G,0
1454,14709,39.0,F,M,702.0,2521,3,2101,1.0,cs,4,NONE,NONE,NONE,3G,0
1455,1471,38.0,M,S,702.0,1557,3,2137,1.0,cs,7,NONE,NONE,NONE,4G,0
1456,14713,39.0,M,M,702.0,2327,3,2242,1.0,cs,22,103,NONE,NONE,3G,0
1457,14718,40.0,F,M,702.0,917,3,2242,1.0,cs,10,NONE,NONE,NONE,3G,0
1458,1472,28.0,F,S,702.0,1554,7,2156,0.0,cs,3,NONE,NONE,NONE,4G,0
1459,14729,51.0,M,M,702.0,1213,3,2119,0.0,cs,39,NONE,NONE,NONE,3G,0
1460,1473,40.0,F,S,702.0,1554,3,2114,0.0,cs,0,NONE,NONE,NONE,4G,0
1461,14730,32.0,F,M,702.0,1660,3,2103,1.0,cs,0,NONE,NONE,NONE,3G,0
1462,14731,30.0,F,S,702.0,2301,7,2161,0.0,cs,25,105,103,NONE,3G,0
1463,14732,46.0,M,M,702.0,1708,3,2101,1.0,cs,5,NONE,NONE,NONE,3G,0
1464,1474,47.0,M,M,702.0,1448,3,2114,1.0,cs,20,NONE,NONE,NONE,4G,0
1465,14741,49.0,F,M,702.0,593,3,2206,1.0,cs,19,NONE,NONE,NONE,3G,0
1466,14747,21.0,M,S,702.0,235,3,2242,1.0,cs,7,NONE,NONE,NONE,3G,0
1467,14749,23.0,F,S,579.0,389,5,2242,1.0,cs,0,50,48,105,3G,0
1468,1475,49.0,M,M,702.0,1559,3,2101,1.0,cs,1,101,105,NONE,4G,0
1469,1476,28.0,F,S,702.0,206,3,2242,1.0,cg,6,29,NONE,NONE,4G,0
1470,14763,37.0,M,M,702.0,1792,3,2105,0.0,dd,30,NONE,NONE,NONE,3G,0
1471,14767,36.30354683195592,F,S,702.0,502,9,2212,1.0,cs,16,103,236,238,3G,0
1472,1477,72.0,M,M,702.0,626,3,2206,1.0,cs,0,254,240,248,4G,0
1473,14771,62.0,F,M,702.0,748,3,2135,1.0,cs,2,82,248,NONE,3G,0
1474,14775,38.0,M,M,702.0,319,3,2241,1.0,cs,10,105,NONE,NONE,3G,0
1475,14776,53.0,M,M,702.0,1664,3,2105,1.0,cs,22,NONE,NONE,NONE,3G,0
1476,14778,48.0,F,M,702.0,222,3,2241,1.0,cs,7,NONE,NONE,NONE,3G,0
1477,1478,31.0,M,S,702.0,1305,3,2102,0.0,cs,31,105,NONE,NONE,4G,0
1478,14787,45.0,M,M,702.0,206,8,2242,1.0,cs,0,NONE,NONE,NONE,3G,0
1479,1479,46.0,M,M,702.0,1304,3,2136,1.0,co,0,236,105,103,4G,0
1480,14791,26.0,F,S,579.0,1524,3,2101,1.0,cs,8,NONE,NONE,NONE,3G,0
1481,14792,41.0,F,M,702.0,1712,3,2241,1.0,cs,3,NONE,NONE,NONE,3G,0
1482,14798,50.0,F,M,702.0,2006,3,2107,1.0,cs,12,NONE,NONE,NONE,3G,0
1483,148,36.30354683195592,F,S,702.0,1190,8,2107,1.0,cs,0,69,52,241,4G,0
1484,1480,45.0,M,M,702.0,1553,3,2107,1.0,dd,11,NONE,NONE,NONE,4G,0
1485,14802,33.0,M,S,702.0,1527,3,2105,1.0,cs,10,NONE,NONE,NONE,3G,0
1486,14803,36.30354683195592,M,S,702.0,2217,10,2166,1.0,cs,5,248,NONE,NONE,3G,0
1487,14804,36.30354683195592,M,S,702.0,435,3,2242,1.0,cs,14,NONE,NONE,NONE,3G,0
1488,14805,29.0,F,S,702.0,823,3,2206,0.0,cs,15,NONE,NONE,NONE,3G,0
1489,14807,38.0,F,M,702.0,2304,3,2242,1.0,dd,9,101,105,NONE,3G,0
1490,1481,48.0,M,S,702.0,1255,3,2135,1.0,dd,22,NONE,NONE,NONE,4G,0
1491,14815,57.0,M,M,702.0,2506,3,2101,1.0,cs,15,101,105,NONE,3G,0
1492,14819,41.0,F,M,156.0,283,3,2101,1.0,cs,9,NONE,NONE,NONE,3G,0
1493,1482,22.0,F,S,702.0,716,3,2135,1.0,cs,20,NONE,NONE,NONE,4G,0
1494,1483,31.0,M,S,702.0,931,3,2242,1.0,dd,9,NONE,NONE,NONE,4G,0
1495,14833,28.0,M,S,702.0,1984,3,2101,1.0,cs,3,NONE,NONE,NONE,3G,0
1496,14839,66.0,M,M,702.0,1564,3,2105,0.0,cs,51,NONE,NONE,NONE,3G,0
1497,1484,24.0,F,S,702.0,773,3,2101,0.0,cs,25,NONE,NONE,NONE,4G,0
1498,14845,33.0,M,S,702.0,1883,7,2156,1.0,cs,21,NONE,NONE,NONE,3G,0
1499,14849,61.0,M,M,702.0,709,3,2135,1.0,cs,2,NONE,NONE,NONE,3G,0
1500,1485,36.30354683195592,F,S,702.0,313,3,2101,1.0,cs,6,NONE,NONE,NONE,4G,0
1501,14851,35.0,F,M,702.0,431,3,2241,1.0,cs,4,NONE,NONE,NONE,3G,0
1502,14854,60.0,M,M,702.0,826,3,2242,1.0,cs,27,103,105,101,3G,0
1503,1486,27.0,M,S,702.0,1271,7,2209,0.0,cs,26,NONE,NONE,NONE,4G,0
1504,1487,42.0,F,M,702.0,1271,3,2242,0.0,cs,0,NONE,NONE,NONE,4G,0
1505,14874,53.0,M,M,702.0,390,3,2243,1.0,cs,12,NONE,NONE,NONE,3G,0
1506,14879,47.0,M,M,702.0,960,3,2119,1.0,cs,31,40,248,105,3G,0
1507,1488,20.0,F,S,702.0,305,4,2242,1.0,cs,10,NONE,NONE,NONE,4G,0
1508,14880,31.0,M,S,702.0,843,3,2105,1.0,cs,3,NONE,NONE,NONE,3G,0
1509,14881,32.0,M,S,702.0,1426,7,2156,1.0,cg,11,237,29,NONE,3G,0
1510,14883,26.0,F,S,702.0,454,3,2241,1.0,cs,14,NONE,NONE,NONE,3G,0
1511,14885,55.0,F,S,702.0,2472,3,2101,1.0,cs,19,NONE,NONE,NONE,3G,0
1512,1489,25.0,F,S,702.0,1268,3,2102,0.0,cs,21,105,NONE,NONE,4G,0
1513,14891,20.0,M,S,702.0,199,4,2242,1.0,cs,6,NONE,NONE,NONE,3G,0
1514,149,23.0,M,S,702.0,612,3,2102,1.0,dd,8,50,248,101,4G,0
1515,1490,26.0,F,S,702.0,1399,3,2206,0.0,cs,24,NONE,NONE,NONE,4G,0
1516,14906,45.0,F,M,702.0,500,3,2206,1.0,cs,0,NONE,NONE,NONE,3G,0
1517,14907,26.0,M,S,702.0,1868,3,2101,1.0,cs,2,25,254,244,3G,0
1518,14909,47.0,F,S,702.0,2466,3,2101,1.0,cs,4,NONE,NONE,NONE,3G,0
1519,1491,30.0,F,S,702.0,1560,3,2114,0.0,cs,3,NONE,NONE,NONE,4G,0
1520,14912,30.0,M,M,702.0,1627,3,2101,1.0,cs,9,NONE,NONE,NONE,3G,0
1521,14914,27.0,F,S,702.0,1915,3,2101,0.0,cs,16,NONE,NONE,NONE,3G,0
1522,14915,48.0,M,M,702.0,1430,3,2102,1.0,cs,6,105,NONE,NONE,3G,0
1523,14919,62.0,M,M,702.0,2112,3,2206,1.0,cs,13,236,35,105,3G,0
1524,1492,21.0,M,S,702.0,639,3,2206,1.0,cs,20,NONE,NONE,NONE,4G,0
1525,14926,40.0,M,S,702.0,336,3,2242,1.0,cs,0,248,NONE,NONE,3G,0
1526,14929,31.0,M,S,702.0,2463,3,2101,1.0,cs,4,NONE,NONE,NONE,3G,0
1527,1493,33.0,M,S,702.0,811,3,2102,1.0,cs,0,258,237,50,4G,0
1528,14935,58.0,M,M,702.0,1682,3,2105,1.0,cs,22,NONE,NONE,NONE,3G,0
1529,14938,16.0,M,S,702.0,315,4,2242,1.0,cs,10,NONE,NONE,NONE,3G,0
1530,1494,43.0,M,M,702.0,1554,3,2114,1.0,cs,0,248,NONE,NONE,4G,0
1531,14940,23.0,M,S,702.0,1829,3,2242,1.0,dd,3,NONE,NONE,NONE,3G,0
1532,14941,22.0,M,S,702.0,626,3,2101,1.0,cs,20,242,NONE,NONE,3G,0
1533,14945,33.0,M,S,458.0,795,5,2135,0.0,cs,26,70,248,105,3G,0
1534,14947,25.0,F,S,458.0,385,3,2242,1.0,cs,12,103,105,NONE,3G,0
1535,1495,38.0,F,M,702.0,1109,3,2101,1.0,cs,11,NONE,NONE,NONE,4G,0
1536,14955,37.0,F,S,702.0,1660,3,2101,0.0,cg,38,NONE,NONE,NONE,3G,0
1537,14956,27.0,F,M,702.0,223,3,2242,1.0,cs,7,NONE,NONE,NONE,3G,0
1538,14957,52.0,F,M,702.0,246,3,2242,1.0,cs,8,NONE,NONE,NONE,3G,0
1539,14959,45.0,M,M,702.0,284,3,2242,1.0,cs,9,35,236,NONE,3G,0
1540,1496,47.0,F,S,702.0,345,3,2248,1.0,cs,0,NONE,NONE,NONE,4G,0
1541,14960,32.0,F,S,702.0,2423,3,2206,1.0,cs,15,254,80,105,3G,0
1542,14963,29.0,F,S,702.0,2435,3,2101,1.0,dd,16,NONE,NONE,NONE,3G,0
1543,1497,28.0,M,S,702.0,619,3,2135,1.0,cs,0,NONE,NONE,NONE,4G,0
1544,1498,23.0,M,S,702.0,1300,3,2241,0.0,dd,34,NONE,NONE,NONE,4G,0
1545,14985,30.0,M,S,702.0,1950,3,2241,1.0,cs,15,238,NONE,NONE,3G,0
1546,14988,39.0,F,M,702.0,329,3,2242,1.0,cs,10,NONE,NONE,NONE,3G,0
1547,1499,50.0,F,S,702.0,1247,3,2107,1.0,dd,0,NONE,NONE,NONE,4G,0
1548,14992,27.0,F,S,702.0,2184,3,2102,1.0,cs,17,236,NONE,NONE,3G,0
1549,14994,39.0,M,S,702.0,1785,3,2101,1.0,cs,10,50,248,NONE,3G,0
1550,14997,38.0,F,M,702.0,1920,3,2242,1.0,cs,8,105,248,102,3G,0
1551,14998,32.0,M,M,702.0,1718,3,2105,1.0,co,6,105,NONE,NONE,3G,0
1552,15,23.0,M,S,702.0,226,3,2243,1.0,cs,7,105,103,236,4G,0
1553,150,28.0,M,S,702.0,534,3,2206,1.0,cs,0,NONE,NONE,NONE,4G,0
1554,1500,32.0,F,S,702.0,1553,3,2114,1.0,cs,0,NONE,NONE,NONE,4G,0
1555,15006,36.0,F,S,702.0,394,3,2242,1.0,cs,12,NONE,NONE,NONE,3G,0
1556,15009,45.0,M,M,702.0,2441,3,2107,1.0,cs,3,NONE,NONE,NONE,3G,0
1557,1501,47.0,M,M,702.0,741,3,2135,0.0,cs,14,248,NONE,NONE,4G,0
1558,15011,38.0,F,M,702.0,2439,3,2101,1.0,co,4,69,35,NONE,3G,0
1559,1502,32.0,M,S,458.0,387,3,2248,1.0,cs,12,NONE,NONE,NONE,4G,0
1560,15020,45.0,F,M,702.0,589,3,2135,1.0,cs,15,NONE,NONE,NONE,3G,0
1561,15022,24.0,F,S,702.0,452,3,2242,1.0,dd,14,NONE,NONE,NONE,3G,0
1562,1503,26.0,M,S,702.0,1297,3,2107,1.0,cs,0,NONE,NONE,NONE,4G,0
1563,15030,40.0,F,M,702.0,1898,3,2242,1.0,cs,1,NONE,NONE,NONE,3G,0
1564,15031,38.0,F,S,702.0,2310,3,2242,1.0,co,14,NONE,NONE,NONE,3G,0
1565,1504,50.0,F,M,702.0,1556,3,2243,1.0,cs,0,NONE,NONE,NONE,4G,0
1566,15040,48.0,M,M,702.0,765,3,2135,0.0,cs,25,NONE,NONE,NONE,3G,0
1567,15043,45.0,F,M,702.0,1795,3,2105,0.0,dd,18,NONE,NONE,NONE,3G,0
1568,1505,28.0,M,S,702.0,925,3,2135,1.0,cs,2,105,NONE,NONE,4G,0
1569,15058,33.0,F,S,702.0,2422,3,2101,0.0,cs,30,NONE,NONE,NONE,3G,0
1570,15059,42.0,F,M,702.0,962,3,2242,0.0,dd,31,NONE,NONE,NONE,3G,0
1571,1506,28.0,M,S,702.0,1254,3,2242,1.0,cs,17,NONE,NONE,NONE,4G,0
1572,15062,38.0,F,M,702.0,193,3,2242,1.0,cs,6,NONE,NONE,NONE,3G,0
1573,15064,36.0,M,S,702.0,2023,3,2101,0.0,cs,36,103,105,NONE,3G,0
1574,1507,25.0,M,S,702.0,1284,3,2136,1.0,cs,0,NONE,NONE,NONE,4G,0
1575,15075,38.0,F,M,702.0,1099,7,2156,1.0,dd,12,NONE,NONE,NONE,3G,0
1576,15079,30.0,M,S,702.0,630,3,2242,1.0,cs,20,NONE,NONE,NONE,3G,0
1577,1508,36.30354683195592,F,M,702.0,1554,3,2104,1.0,cs,1,105,103,NONE,4G,0
1578,15081,35.0,M,S,36.0,2433,3,2102,0.0,cs,0,237,NONE,NONE,3G,0
1579,15082,26.0,M,S,702.0,2422,3,2243,1.0,co,12,NONE,NONE,NONE,3G,0
1580,15083,50.0,F,M,702.0,1779,3,2242,0.0,cs,31,NONE,NONE,NONE,3G,0
1581,15086,17.0,M,S,156.0,228,6,2242,1.0,dd,7,35,236,NONE,3G,0
1582,15089,22.0,M,S,702.0,849,3,2248,1.0,cs,5,NONE,NONE,NONE,3G,0
1583,1509,24.0,M,S,702.0,639,3,2206,1.0,dd,20,NONE,NONE,NONE,4G,0
1584,15092,25.0,M,S,702.0,792,3,2135,1.0,cs,17,NONE,NONE,NONE,3G,0
1585,15093,50.0,F,M,702.0,2072,3,2242,1.0,cs,11,NONE,NONE,NONE,3G,0
1586,15095,46.0,M,M,702.0,746,3,2105,0.0,cs,24,NONE,NONE,NONE,3G,0
1587,15098,32.0,F,S,702.0,2429,3,2101,1.0,cs,7,NONE,NONE,NONE,3G,0
1588,151,24.0,F,S,702.0,1354,3,2135,1.0,cs,1,NONE,NONE,NONE,4G,0
1589,1510,52.0,F,M,702.0,1546,3,2102,0.0,cs,7,248,NONE,NONE,4G,0
1590,15100,37.0,M,S,702.0,2217,7,2212,1.0,cg,8,NONE,NONE,NONE,3G,0
1591,15106,46.0,M,M,702.0,785,3,2252,0.0,cs,25,239,48,25,3G,0
1592,1511,33.0,M,S,702.0,549,3,2136,1.0,cs,7,NONE,NONE,NONE,4G,0
1593,15112,35.0,F,S,702.0,1418,7,2165,0.0,cs,25,NONE,NONE,NONE,3G,0
1594,15115,32.0,M,S,356.0,226,3,2241,1.0,cs,7,NONE,NONE,NONE,3G,0
1595,15116,42.0,M,M,458.0,1783,6,2101,0.0,cs,55,NONE,NONE,NONE,3G,0
1596,1512,21.0,M,S,702.0,1279,7,2171,1.0,cs,1,NONE,NONE,NONE,4G,0
1597,15125,25.0,F,S,702.0,513,3,2206,1.0,cs,16,236,35,NONE,3G,0
1598,1513,36.30354683195592,F,S,702.0,1196,9,2151,1.0,cs,2,248,67,260,4G,0
1599,15133,42.0,M,M,702.0,1938,3,2101,1.0,cs,10,NONE,NONE,NONE,3G,0
1600,15136,52.0,M,S,702.0,2331,3,2248,1.0,cs,5,NONE,NONE,NONE,3G,0
1601,1514,50.0,M,S,702.0,1554,3,2114,1.0,cg,0,NONE,NONE,NONE,4G,0
1602,15143,44.0,F,M,702.0,2460,3,2101,1.0,cs,9,NONE,NONE,NONE,3G,0
1603,15144,28.0,M,S,702.0,247,3,2242,1.0,cs,7,NONE,NONE,NONE,3G,0
1604,15146,34.0,F,S,702.0,2453,3,2101,1.0,cs,5,NONE,NONE,NONE,3G,0
1605,1515,34.0,M,S,702.0,208,3,2241,1.0,cs,3,NONE,NONE,NONE,4G,0
1606,15155,40.0,F,M,702.0,492,3,2206,1.0,cs,16,NONE,NONE,NONE,3G,0
1607,15157,16.0,M,S,702.0,214,4,2242,1.0,cs,6,NONE,NONE,NONE,3G,0
1608,1516,39.0,M,M,702.0,529,3,2242,1.0,cs,0,NONE,NONE,NONE,4G,0
1609,15161,27.0,M,S,702.0,1938,3,2101,1.0,dd,13,NONE,NONE,NONE,3G,0
1610,15165,19.0,F,S,702.0,1001,4,2101,1.0,cs,21,NONE,NONE,NONE,3G,0
1611,15167,53.0,F,M,702.0,2191,3,2101,0.0,cs,27,NONE,NONE,NONE,3G,0
1612,1517,39.0,F,M,702.0,1336,3,2248,1.0,cs,1,NONE,NONE,NONE,4G,0
1613,15170,29.0,M,S,702.0,2205,3,2101,1.0,cs,1,105,NONE,NONE,3G,0
1614,15177,50.0,F,M,702.0,1037,3,2101,1.0,cs,15,NONE,NONE,NONE,3G,0
1615,1518,27.0,F,S,702.0,1296,7,2215,0.0,cs,0,69,242,NONE,4G,0
1616,15182,24.0,F,S,702.0,214,3,2242,1.0,cs,6,103,NONE,NONE,3G,0
1617,15185,53.0,M,M,702.0,1348,7,2166,0.0,cs,0,236,NONE,NONE,3G,0
1618,15186,55.0,M,M,702.0,2072,3,2242,1.0,cs,1,NONE,NONE,NONE,3G,0
1619,1519,36.30354683195592,M,S,702.0,1322,7,2166,0.0,cs,0,105,NONE,NONE,4G,0
1620,15191,27.0,F,S,702.0,2216,7,2166,1.0,cs,7,NONE,NONE,NONE,3G,0
1621,15192,28.0,M,S,702.0,962,3,2102,0.0,cs,31,105,103,NONE,3G,0
1622,152,23.0,M,S,702.0,293,3,2242,1.0,cs,1,242,NONE,NONE,4G,0
1623,1520,23.0,F,S,702.0,1222,7,2166,1.0,co,5,NONE,NONE,NONE,4G,0
1624,15201,33.0,F,S,702.0,2451,3,2243,1.0,co,0,53,236,NONE,3G,0
1625,15205,28.0,M,S,360.0,2198,3,2102,0.0,co,31,NONE,NONE,NONE,3G,0
1626,15206,59.0,M,M,702.0,315,3,2242,1.0,cs,5,NONE,NONE,NONE,3G,0
1627,15209,50.0,F,M,702.0,957,3,2105,1.0,cs,31,35,NONE,NONE,3G,0
1628,1521,50.0,M,M,702.0,1277,3,2241,0.0,cg,0,NONE,NONE,NONE,4G,0
1629,15211,27.0,M,S,702.0,1874,3,2103,0.0,cs,29,26,NONE,NONE,3G,0
1630,1522,31.0,M,S,702.0,1554,3,2114,1.0,cs,2,NONE,NONE,NONE,4G,0
1631,1523,31.0,M,S,702.0,1284,3,2135,1.0,cs,6,NONE,NONE,NONE,4G,0
1632,15231,62.0,F,M,458.0,1097,3,2105,0.0,cs,35,NONE,NONE,NONE,3G,0
1633,15236,31.0,M,S,702.0,2435,3,2101,1.0,co,7,105,103,NONE,3G,0
1634,15237,35.0,M,M,702.0,1815,3,2105,1.0,cg,0,NONE,NONE,NONE,3G,0
1635,15238,23.0,M,S,702.0,656,3,2242,1.0,cs,6,NONE,NONE,NONE,3G,0
1636,1524,26.0,F,S,458.0,809,3,2206,0.0,cs,0,103,105,254,4G,0
1637,15246,24.0,M,S,458.0,1560,7,2101,0.0,cs,51,NONE,NONE,NONE,3G,1
1638,1525,27.0,M,S,702.0,1551,3,2242,1.0,cs,13,105,NONE,NONE,4G,0
1639,15255,44.0,M,M,702.0,1553,7,2156,1.0,cg,50,254,70,NONE,3G,0
1640,15256,36.0,F,S,702.0,894,7,2155,1.0,dd,2,NONE,NONE,NONE,3G,0
1641,1526,26.0,M,S,702.0,1059,3,2101,1.0,cs,6,NONE,NONE,NONE,4G,0
1642,15266,27.0,M,S,702.0,313,7,2243,1.0,cs,10,70,37,248,3G,0
1643,15269,32.0,F,S,702.0,2162,3,2248,1.0,dd,7,105,52,56,3G,0
1644,1527,23.0,M,S,702.0,982,3,2135,0.0,cs,32,247,NONE,NONE,4G,0
1645,15272,44.0,F,M,702.0,1938,3,2101,1.0,cs,5,59,105,NONE,3G,0
1646,1528,39.0,M,M,702.0,341,3,2137,1.0,cs,2,102,105,103,4G,0
1647,15284,39.0,M,M,702.0,1704,3,2101,1.0,cg,5,105,101,NONE,3G,0
1648,15285,31.0,M,S,702.0,2010,3,2242,0.0,cs,45,259,NONE,NONE,3G,0
1649,1529,19.0,M,S,702.0,365,4,2242,1.0,cs,11,NONE,NONE,NONE,4G,0
1650,15290,33.0,F,M,702.0,1733,3,2101,1.0,co,15,NONE,NONE,NONE,3G,0
1651,15298,48.0,M,M,702.0,2365,3,2101,1.0,co,9,NONE,NONE,NONE,3G,0
1652,15299,31.0,F,S,702.0,752,3,2252,1.0,cs,5,NONE,NONE,NONE,3G,0
1653,153,42.0,F,M,702.0,239,3,2241,1.0,cs,4,NONE,NONE,NONE,4G,0
1654,1530,34.0,M,S,702.0,1477,3,2115,1.0,co,0,NONE,NONE,NONE,4G,0
1655,15308,29.0,F,S,702.0,2332,3,2104,1.0,cs,6,102,NONE,NONE,3G,0
1656,1531,37.0,M,M,702.0,844,3,2107,1.0,co,1,69,240,NONE,4G,0
1657,15310,53.0,M,M,702.0,2339,3,2101,1.0,dd,10,NONE,NONE,NONE,3G,0
1658,15313,57.0,M,M,702.0,1629,7,2156,1.0,dd,38,NONE,NONE,NONE,3G,0
1659,15314,26.0,M,S,156.0,1459,3,2101,0.0,cs,26,NONE,NONE,NONE,3G,1
1660,15315,29.0,F,S,702.0,2097,3,2104,1.0,cs,5,241,NONE,NONE,3G,0
1661,1532,26.0,F,S,702.0,1270,7,2166,1.0,cs,34,248,NONE,NONE,4G,0
1662,15323,34.0,F,M,702.0,2357,3,2101,0.0,cs,10,NONE,NONE,NONE,3G,0
1663,15325,23.0,F,S,702.0,426,3,2242,1.0,cs,14,NONE,NONE,NONE,3G,0
1664,15326,45.0,M,M,702.0,815,3,2206,1.0,cs,0,NONE,NONE,NONE,3G,0
1665,15327,35.0,F,M,702.0,1954,3,2101,0.0,dd,0,NONE,NONE,NONE,3G,0
1666,1533,24.0,M,S,702.0,1362,3,2243,1.0,cs,0,254,NONE,NONE,4G,0
1667,15332,31.0,M,S,702.0,1416,3,2136,0.0,cs,24,NONE,NONE,NONE,3G,0
1668,15333,38.0,F,S,702.0,2350,3,2102,1.0,cs,6,NONE,NONE,NONE,3G,0
1669,15337,34.0,M,M,702.0,1045,3,2119,0.0,cs,34,NONE,NONE,NONE,3G,0
1670,1534,44.0,M,M,246.0,1243,7,2166,1.0,dd,4,65,258,22,4G,1
1671,15341,41.0,M,M,702.0,2340,3,2120,1.0,cs,3,NONE,NONE,NONE,3G,0
1672,1535,19.0,F,S,702.0,284,4,2242,1.0,cs,0,NONE,NONE,NONE,4G,0
1673,15356,27.0,F,S,702.0,208,3,2242,1.0,cs,6,105,103,NONE,3G,0
1674,15357,64.0,M,M,702.0,2364,3,2107,1.0,cs,3,NONE,NONE,NONE,3G,0
1675,1536,38.0,F,M,702.0,797,3,2137,1.0,cs,5,105,238,NONE,4G,0
1676,15361,45.0,F,M,702.0,2344,3,2107,1.0,dd,11,NONE,NONE,NONE,3G,0
1677,15363,30.0,M,M,702.0,190,3,2101,1.0,cs,8,70,105,240,3G,0
1678,15364,29.0,M,S,702.0,2193,3,2101,0.0,co,30,103,82,236,3G,0
1679,1537,23.0,M,S,458.0,1276,6,2135,1.0,cs,41,NONE,NONE,NONE,4G,0
1680,15376,35.0,M,M,702.0,2359,3,2101,1.0,cs,21,NONE,NONE,NONE,3G,0
